epoch,client,sample_size,mae,rmse,duration_s
1,train_2,5,102.63166666666662,107.16851694877552,21.33772349357605
1,train_16,404,114.70312389554726,150.93474927709866,23.068681716918945
1,train_0,73,108.72543827599051,141.60876741978782,23.540535926818848
1,train_18,69,135.72207766868647,162.57885324576637,23.841073751449585
1,train_23,212,41.15510190629062,60.02136441943905,24.174555778503418
1,train_25,226,69.86880915359005,115.05687702985506,25.352906942367554
1,train_24,173,64.1392882595031,87.56006105284308,26.089050769805908
1,train_17,240,112.02587975341581,149.56131787940757,26.330708980560303
1,train_3,79,120.40907491560891,169.32188035640357,27.186991214752197
1,train_26,56,154.80529185389966,218.7025918711543,27.680790901184082
1,train_12,35,90.71191139721444,104.51960686339093,28.01886510848999
1,train_6,460,67.40373342809049,118.6280173317443,28.23516273498535
1,train_20,205,86.48818490692366,129.05902313851928,28.34816026687622
1,train_27,660,69.65773960352836,104.23707805256115,28.741950511932373
1,train_13,303,85.71122480649765,120.77629790424372,28.9019935131073
1,train_19,36,229.25573738108875,270.4596581610152,29.495717525482178
1,train_7,79,148.54348352553092,193.76552952692197,29.570623636245728
1,train_15,260,43.678544304525815,72.52603503712322,29.673400163650513
1,train_1,301,37.670522125966706,55.06847678688821,30.112914323806763
1,train_14,163,64.46199514516113,90.6775790563012,30.18676733970642
1,train_22,25,181.30623389110886,202.70133173206742,30.33724331855774
1,train_21,83,97.74651246182414,145.4115679682145,30.755608320236206
1,train_4,70,62.504236419256934,101.78028982908147,31.558939933776855
1,train_11,98,113.63906107932763,173.09494119087785,31.83063054084778
1,train_8,237,114.94402167177843,158.9802144264398,31.85965919494629
1,train_10,140,54.791463527250684,79.8211785117878,31.879406690597534
1,train_5,473,39.90958590210809,63.05440631562007,32.22004747390747
2,train_0,73,135.09182477003932,206.4211323293238,18.854002952575684
2,train_1,301,96.33337802390544,112.47416974291873,18.425397157669067
2,train_2,5,101.2531525330109,117.26392100252767,19.1323139667511
2,train_3,79,119.48018436901371,179.70491470398488,18.218387126922607
2,train_4,70,105.2835408180225,122.74117789592582,17.90593457221985
2,train_5,473,86.66505784695612,104.49998516381541,17.9531466960907
2,train_6,460,137.82467695699398,194.1597133843034,17.93838930130005
2,train_7,79,165.88578647653134,207.01318206116935,18.016881704330444
2,train_8,237,149.68946623545307,233.2842564130371,17.854607105255127
2,train_10,140,83.29923240821282,121.79968193061951,17.898958921432495
2,train_11,98,107.4795229279069,153.68085403560593,17.893630504608154
2,train_12,35,87.80855851643751,106.89884469625721,18.34804105758667
2,train_13,303,130.7562094387502,177.01198191264834,18.707662343978882
2,train_14,163,105.65767764833042,133.86634423036122,18.98369336128235
2,train_15,260,116.30827593499147,134.68094747846706,17.925218105316162
2,train_16,404,136.7911963730482,199.5611998418273,17.853959798812866
2,train_17,240,164.03757507622728,236.19866152285968,17.786128520965576
2,train_18,69,136.77580302480501,176.45742371280699,18.80168914794922
2,train_19,36,210.45158703360107,331.0851051721195,18.156098127365112
2,train_20,205,128.943931273226,194.35827858111676,17.807862043380737
2,train_21,83,114.74067734119616,154.2988379898818,18.223302125930786
2,train_22,25,143.96760008271045,164.53961987043962,17.99613046646118
2,train_23,212,77.8507149260237,95.49094038077327,17.842610597610474
2,train_24,173,104.9760263423883,144.05714563891394,17.852463960647583
2,train_25,226,105.98586717095324,149.1954111830963,17.862563848495483
2,train_26,56,229.64095161588236,325.3845938644524,17.7396879196167
2,train_27,660,103.15575122973604,144.10434524077934,17.84078025817871
