experiment,global_round,iter,train_rmse
retailer_region-cycling-ce-on-tf-0p3-le-5-eta-0p1-md-6-ss-0p6_2025-06-24,1,1,210.36344663203695
retailer_region-cycling-ce-on-tf-0p3-le-5-eta-0p1-md-6-ss-0p6_2025-06-24,1,2,156.30974644029777
retailer_region-cycling-ce-on-tf-0p3-le-5-eta-0p1-md-6-ss-0p6_2025-06-24,1,3,119.59044825581167
retailer_region-cycling-ce-on-tf-0p3-le-5-eta-0p1-md-6-ss-0p6_2025-06-24,1,4,98.30821748218136
retailer_region-cycling-ce-on-tf-0p3-le-5-eta-0p1-md-6-ss-0p6_2025-06-24,1,5,83.1401823918718
retailer_region-cycling-ce-on-tf-0p3-le-5-eta-0p1-md-6-ss-0p6_2025-06-24,2,1,160.62678668145415
retailer_region-cycling-ce-on-tf-0p3-le-5-eta-0p1-md-6-ss-0p6_2025-06-24,2,2,138.01606855965744
retailer_region-cycling-ce-on-tf-0p3-le-5-eta-0p1-md-6-ss-0p6_2025-06-24,2,3,115.12665304018168
retailer_region-cycling-ce-on-tf-0p3-le-5-eta-0p1-md-6-ss-0p6_2025-06-24,2,4,102.99730493667661
retailer_region-cycling-ce-on-tf-0p3-le-5-eta-0p1-md-6-ss-0p6_2025-06-24,2,5,94.24712822786283
retailer_region-cycling-ce-on-tf-0p3-le-5-eta-0p1-md-6-ss-0p6_2025-06-24,3,1,60.24200346726304
retailer_region-cycling-ce-on-tf-0p3-le-5-eta-0p1-md-6-ss-0p6_2025-06-24,3,2,53.22622911172237
retailer_region-cycling-ce-on-tf-0p3-le-5-eta-0p1-md-6-ss-0p6_2025-06-24,3,3,45.85194037520347
retailer_region-cycling-ce-on-tf-0p3-le-5-eta-0p1-md-6-ss-0p6_2025-06-24,3,4,40.25732844092062
retailer_region-cycling-ce-on-tf-0p3-le-5-eta-0p1-md-6-ss-0p6_2025-06-24,3,5,37.203770057906446
retailer_region-cycling-ce-on-tf-0p2-le-1-eta-0p05-md-6-ss-0p8_2025-06-24,1,1,115.0495886143236
retailer_region-cycling-ce-on-tf-0p2-le-1-eta-0p05-md-6-ss-0p8_2025-06-24,2,1,133.62684227029865
retailer_region-cycling-ce-on-tf-0p2-le-1-eta-0p05-md-6-ss-0p8_2025-06-24,3,1,78.13037978050708
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,1,63.10908485944694
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,2,46.78181362385922
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,3,30.62545041122865
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,4,17.700363172695425
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,5,7.36029059997392
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,1,157.49507208742236
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,1,111.62115164313897
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,2,112.91871310637072
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,2,86.92827030742751
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,3,83.19150864153734
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,3,69.18972214939063
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,4,63.85176027036586
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,4,54.61073320984807
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,5,45.61537145702586
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,5,50.5254530652077
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,1,109.98127518365504
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,2,81.82021236784199
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,3,62.24534388409035
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,4,48.870438177754416
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,5,39.6181284727961
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,1,86.51212887052797
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,2,61.90181458211878
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,3,44.55820060866422
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,4,34.81640249209384
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,5,28.205977392895765
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,1,187.78906863323647
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,2,131.15876795895608
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,3,97.64043048277392
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,4,79.37106672624832
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,5,66.98243012827774
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,1,155.03571913063206
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,2,121.06942592898588
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,3,98.24774770997328
retailer_region-bagging-ce-on-tf-0p1-le-5-eta-0p05-md-8-ss-0p6_2025-06-24,1,4,82.80382179528799
